stance_label,stance_score,text_preview
anti_ukraine,0.9873046875,"The bed has been made for Europe. Forced Migration, Green Energy Scams, No soverighnty, less money & freedoms. Now these leaders want to send you to a war knowing you have no military capabilities while talking sht about"
anti_ukraine,0.98193359375,Trump and MAGA have already trashed the soldiers that have fought for our freedom. They've pissed andðŸ’© all over their graves especially those that fought fascism in WWII. They're all rotten to their evil core
anti_ukraine,0.98095703125,"Ruda Mend and Merc are talking about how to humiliate Poland again, as they have done before, demanding reparations for the war the Germans have been paying off our taxes."
anti_ukraine,0.97998046875,"You destroy Romania, steal and sell everything.....you will push the Romanians into the arms of the Russians, you are anti-Romanians!"
anti_ukraine,0.9736328125,The US no longer stands for freedom or the rule of law. The US is a rogue state carrying out war crimes.
anti_ukraine,0.97216796875,"[specifically still targeting Ukraine and Zelenskyy] - you asked for this - what did you want me to say, lies, supporting you? - you are the main reason this war is dragging on - you are an enemy of Ukraine, friend to p."
anti_ukraine,0.96435546875,"Let no man speak of peace, for he desires war; the devil makes him think of evil, and it is not good; but at the end of the day this evil man says that we are the bridegroom, that we are the great sinners in the Roman re"
anti_ukraine,0.9619140625,"War fighters in the AF are Lions, Leadership are DONKEYS!  That's an insult to Donkeys!"
anti_ukraine,0.9619140625,"It's clear that Putin's war is on the people of Ukraine, they want to destroy and dominate them as a People, it was never about the Donbass"
anti_ukraine,0.96044921875,They need to lose this war and be humiliated so they never start a war again!
anti_ukraine,0.96044921875,"PiS KO one evil of traitors agents and aggressors incitement to war corrupt trader of liars of lawlessness, anti-Polish state reason,! KaczyÅ„ski and Tusk with duopoly for delegation and settlement before the criminal cou"
anti_ukraine,0.9560546875,AMERICANS  DECLARE WAR ON JEWS AND ZIONIST FOR ROBBING US ALL AND SLAVING US  AMERICANS  GANGS ARE CATCHING JEWS EVERYWHERE THIS GOVERNMENT  IS WICKED JEWS ARE WICKED  AMERICANS  AT WAR WITH ISRAEL
anti_ukraine,0.95361328125,"Take a loaf of bread, when the war comes, Nicusor Dan, he stole and destroyed... go to Bucharest and see what Nicusor Dan has done... to idiots."
anti_ukraine,0.9521484375,"The irony of a lush like pete accusing others of being seditious immediately before he commits a war crime/crime against humanity. This is why you *don't ever hire Drunky Brewster* , let alone give him access to drones.."
anti_ukraine,0.9501953125,Putin should be on trial for crimes against humanity  he is a war criminal and makes Madura look like a Boy Scout.
anti_ukraine,0.9501953125,"The Ukrainian people are being betrayed and they have made Ukraine the most corrupt country in Europe. Another ""I told you so"". Supporting Ukraine to prolong a war you know it cannot win is not being a friend. It's also "
anti_ukraine,0.94970703125,"Jimmy Lei is not pro democracy, he is simply anti Chinese. He used he news outlets to promote riot and violence against the police, accusing the police of murdering hundreds of people. He famously went to the US and requ"
anti_ukraine,0.94580078125,"Dennis Chickens OUT of Ukraine, Putin started the war, Dennis FLEW THE COOP, he is a PILOT after all!"
anti_ukraine,0.9453125,Ukraine war is a proxy that US and Europe lost. It was totally avoidable war. If you wasn't so bais you would have been saying this. Respect other country sovereignty and if your a small country next to a big country try
anti_ukraine,0.9404296875,Denys for Ukrainian post war president!
anti_ukraine,0.939453125,It's antisemitism to kill thousands of Palestinian and making their children orphaned
anti_ukraine,0.93505859375,Russia goal take Ukraine and take the piss out evry one who thinks Russia wins peace deal deal deal with no peace deal trump rolled out the red carpet out for putler a war criminal on america soil wot did america do inva
anti_ukraine,0.9326171875,"Ethnic cleansing my ass, legitimately if you want to use that term look at the previous 15 years that led to the invasion"
anti_ukraine,0.93115234375,Damn Putin dead at the war of the Aphroids.
anti_ukraine,0.92919921875,Damn the war and those who started it..
